id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price,year2,odometer2,year3,odometer3,year4,odometer4
13,16,2010,15,1,2,4.0,81936,2.2066036342148028,1,2,2,8.545981681193677,0,18.0,8760,4040100,6713508096,8120601000,550077999353856,16322408010000,8177702807638441984
14,277,2005,13,1,2,4.0,107934,2.0,1,2,2,12.0,4,45.0,17244,4020025,11649748356,8060150125,1257403939056504,16160601000625,6589428242157841424
15,350,1999,23,1,2,4.0,54481,0.0,1,1,3,7.0,4,2.0,3389,3996001,2968179361,7988005999,161709379766641,15968023992001,8810088719066368321
16,79,2006,22,1,0,4.0,152762,2.0,1,2,3,11.0,11,11.0,3963,4024036,23336228644,8072216216,3564888960114728,16192865729296,-8822754886240469744
17,230,2012,13,0,7,3.887042178526604,129491,2.0,1,1,3,12.0,4,26.0,36783,4048144,16767919081,8144865728,2171294609717771,16387469844736,4461949201320610321
18,120,1995,29,5,2,3.887042178526604,193124,2.0,1,2,2,11.0,0,13.0,3289,3980025,37296879376,7940149875,7202922532610624,15840599000625,7551405659677778176
19,79,2013,1,1,7,4.0,124912,2.0,2,1,2,12.0,11,11.0,27556,4052169,15603007744,8157016197,1949002903318528,16420073604561,3646177701099798528
20,306,1996,17,5,1,4.0,177974,2.0,1,1,3,6.0,3,10.0,4688,3984016,31674744676,7952095936,5637281008966424,15872383488256,7165270309474557712
21,119,2008,13,2,7,4.0,162412,2.0,2,2,2,11.0,3,32.0,3907,4032064,26377657744,8096384512,4284048149518528,16257540100096,-5195446741359791872
22,247,2014,13,1,2,4.0,83288,2.0,1,2,3,12.0,0,33.0,20237,4056196,6936890944,8169178744,577759772943872,16452725990416,-7219776252179443712
23,9,2016,13,1,2,3.0,147583,4.0,2,1,3,6.0,0,26.725070166749216,37763,4064256,21780741889,8193540096,3214467230204287,16518176833536,-5214628681209053695
24,0,2015,13,0,7,4.0,161608,2.0,1,2,3,12.0,3,18.0,7271,4060225,26117145664,8181353375,4220739676467712,16485427050625,-424233092659408896
25,332,2012,25,1,2,4.0,155568,2.0,1,1,2,12.0,2,34.0,11945,4048144,24201402624,8144865728,3764963803410432,16387469844736,-4587921389751566336
26,283,2012,16,1,7,4.0,130992,2.0,2,2,2,11.0,4,32.0,9235,4048144,17158904064,8144865728,2247679161151488,16387469844736,-719916501797109760
27,5,2012,28,0,7,4.0,9309,4.0,1,2,2,11.0,0,28.0,15940,4048144,86657481,8144865728,806694490629,16387469844736,7509519013265361
28,39,2007,28,1,2,4.0,158633,2.0,1,1,3,1.0,4,33.0,16337,4028049,25164428689,8084294343,3991908816222137,16225178746401,6059172737641503777
29,232,2005,13,1,1,4.0,209759,2.0,1,0,3,1.0,4,16.0,7264,4020025,43998838081,8060150125,9229152277032479,16160601000625,-1010375261447157119
30,306,2016,13,2,7,4.0,88187,2.0,1,2,1,5.0,2,10.0,31696,4064256,7776946969,8193540096,685825622355203,16518176833536,5140671937509632113
31,42,2006,25,1,2,4.0,104876,2.0,1,0,2,11.0,4,6.0,14750,4024036,10998975376,8072216216,1153528541533376,16192865729296,-8149749194112519936
32,232,2003,16,5,7,4.0,150511,2.0,1,2,3,11.0,3,16.0,1406,4012009,22653561121,8036054027,3409610137882831,16096216216081,-3325002600984668607
33,122,2009,29,2,7,3.887042178526604,106666,2.0,1,2,3,11.0,4,39.0,6063,4036081,11377635556,8108486729,1213606874216296,16289949838561,323382329188567824
34,112,1992,35,2,1,4.0,64430,2.0,2,0,3,1.0,4,39.0,8432,3968064,4151224900,7904383488,267463420307000,15745531908096,-1214075903329541616
35,234,2013,16,2,7,4.0,21293,2.0,1,2,3,12.0,2,14.0,8403,4052169,453391849,8157016197,9654072640757,16420073604561,205564168739638801
36,222,2012,13,1,7,4.0,105981,2.0,1,2,2,11.0,2,24.0,16079,4048144,11231972361,8144865728,1190375662791141,16387469844736,-2970005397698946991
37,361,2006,17,1,2,3.0,141099,2.0,2,1,3,6.0,11,29.0,23375,4024036,19908927801,8072216216,2809129803793299,16192865729296,8983780637530111665
38,266,2015,35,2,1,3.887042178526604,95888,2.0,1,1,3,1.0,0,28.0,6655,4060225,9194508544,8181353375,881643035267072,16485427050625,-7694733002858758144
39,300,2012,29,5,2,4.0,152452,2.0,2,2,0,11.0,2,32.0,7142,4048144,23241612304,8144865728,3543230278969408,16387469844736,5216964351867191552
40,278,2013,13,2,7,4.0,174294,2.0,1,2,3,11.0,4,8.0,6411,4052169,30378398436,8157016197,5294772577004184,16420073604561,509887850889665296
41,157,2015,25,1,2,4.0,55954,4.0,2,1,3,12.0,4,21.0,20514,4060225,3130850116,8181353375,175183587390664,16485427050625,-8644521624852338160
42,50,1988,13,5,1,4.0,147310,4.0,2,1,3,6.0,9,26.725070166749216,6205,3952144,21700236100,7856862272,3196661779891000,15619442196736,-8715099120705132016
43,154,2013,13,1,2,4.0,103601,2.0,1,0,3,1.0,4,45.0,17873,4052169,10733167201,8157016197,1111966855190801,16420073604561,4520413722364864705
44,0,2008,5,5,2,4.0,0,2.0,1,1,3,12.0,4,18.0,5077,4032064,0,8096384512,0,16257540100096,0
45,59,2013,35,1,1,4.0,56930,2.0,1,1,3,1.0,4,26.725070166749216,46743,4052169,3241024900,8157016197,184511547557000,16420073604561,-7942501671289541616
46,306,2004,13,5,1,3.0,150525,2.0,1,0,3,1.0,5,10.0,1027,4016016,22657775625,8048096064,3410561675953125,16128384512256,-3134037791023304623
47,306,2014,34,1,7,4.0,205226,2.0,1,2,2,11.0,4,10.0,11054,4056196,42117711076,8169178744,8643649373283176,16452725990416,3014155205296122640
48,72,2012,23,0,7,4.0,124806,2.0,1,2,0,11.0,11,50.0,8435,4048144,15576537636,8144865728,1944045356198616,16387469844736,2820851767500297488
49,225,2009,25,1,2,4.0,50287,2.0,1,2,2,12.0,11,33.0,19194,4036081,2528782369,8108486729,127164878989903,16289949838561,6394740269765252161
50,188,2015,27,2,7,4.0,102767,2.0,2,2,2,5.0,4,16.0,8657,4060225,10561056289,8181353375,1085328071651663,16485427050625,855445497169141825
51,213,2001,34,2,7,4.0,173122,2.0,1,2,3,8.0,4,37.0,10228,4004001,29971226884,8012006001,5188678740611848,16032024008001,-5616018679563679728
52,324,2013,25,1,2,4.0,101274,4.0,1,2,2,5.0,4,26.725070166749216,16321,4052169,10256423076,8157016197,1038708990598824,16420073604561,-5486250128352007920
53,324,2006,25,1,7,4.0,136191,2.0,1,2,3,11.0,4,48.0,4486,4024036,18547988481,8072216216,2526069099215871,16192865729296,-6460260709172793343
54,213,1999,8,2,2,4.0,191476,2.0,2,2,2,5.0,4,37.0,5293,3996001,36663058576,7988005999,7020095803898176,15968023992001,-2432453233590120192
55,230,1996,13,2,1,3.0,92613,2.0,1,1,3,1.0,0,26.0,23954,3984016,8577167769,7952095936,794357238590397,15872383488256,-219169357265769103
56,17,2015,16,1,7,4.0,328676,4.0,1,2,2,11.0,4,40.0,6234,4060225,108027912976,8181353375,35506182325299776,16485427050625,-6759016707916996352
57,256,2016,13,1,2,4.0,133560,4.0,1,1,3,12.0,4,12.0,8938,4064256,17838273600,8193540096,2382479822016000,16518176833536,4609355775394582528
58,350,2011,21,1,1,3.0,97739,2.0,1,1,3,12.0,4,2.0,13755,4044121,9552912121,8132727331,933692077794419,16354914662641,-975590376999039439
59,168,1988,35,2,2,4.0,135072,2.0,2,2,3,12.0,2,32.0,3718,3952144,18244445184,7856862272,2464313699893248,15619442196736,818386745208864768
60,278,1971,13,2,1,4.0,71430,2.0,1,0,3,1.0,0,8.0,19077,3884841,5102244900,7657021611,364453353207000,15091989595281,7586158945866458384
61,61,2003,6,5,7,4.0,229610,2.0,2,2,0,11.0,4,7.0,4364,4012009,52720752100,8036054027,12105211889681000,16096216216081,-5980653140487884016
62,241,1994,25,1,1,4.0,67264,2.0,1,0,3,11.0,0,12.0,16145,3976036,4524445696,7928215784,304332315295744,15808862273296,2023864782343372800
63,181,2015,14,1,7,4.0,151032,2.0,1,2,2,11.0,11,8.0,9561,4060225,22810665024,8181353375,3445140359904768,16485427050625,3817604773269475328
64,61,1998,13,5,1,4.0,192165,2.0,1,0,3,11.0,7,7.0,6507,3992004,36927387225,7976023992,7096151366092125,15936095936016,-1427134189413618959
65,316,2009,22,1,7,4.0,76724,2.0,1,1,2,12.0,9,22.0,8359,4036081,5886572176,8108486729,451641363631424,16289949838561,-2241756164161728256
66,221,2007,13,5,7,3.887042178526604,327467,2.0,1,2,2,12.0,11,8.0,6207,4028049,107234636089,8084294343,35115804576156563,16225178746401,6945619219210559153
67,306,2008,17,1,2,3.0,111940,2.0,0,2,3,1.0,3,10.0,8216,4032064,12530563600,8096384512,1402671289384000,16257540100096,-9005672529741004544
68,336,2013,2,1,7,4.0,166614,2.0,1,2,3,11.0,2,34.0,9778,4052169,27760224996,8157016197,4625242127483544,16420073604561,-4133159267257967856
69,72,1999,35,2,1,4.0,160687,2.0,1,1,3,12.0,4,50.0,13087,3996001,25820311969,7988005999,4148988469362703,15968023992001,2605723522940798785
70,9,2016,1,1,7,4.0,118734,2.0,1,2,2,12.0,2,31.0,26359,4064256,14097762756,8193540096,1673883763070904,16518176833536,-4167270086344352240
71,229,2013,13,2,3,4.0,150309,2.0,1,0,3,1.0,4,7.0,11384,4052169,22592795481,8157016197,3395900495953629,16420073604561,-6074426417573423887
72,176,2002,34,2,7,4.0,198472,2.0,1,2,0,3.0,2,36.0,4081,4008004,39391134784,8024024008,7818037302850048,16064096064016,2134997379652390912
73,313,2013,20,1,7,4.0,137182,2.0,1,2,0,3.0,11,50.0,7564,4052169,18818901124,8157016197,2581614493992568,16420073604561,3662902114406982672
74,31,1989,5,1,1,4.0,109376,2.0,2,1,3,12.0,0,42.0,7366,3956121,11963109376,7868724669,1308477051109376,15650893366641,-4457966647537303552
75,16,2012,13,2,1,4.0,126666,2.0,1,1,3,6.0,2,26.725070166749216,17869,4048144,16044275556,8144865728,2032264207576296,16387469844736,-835638915074613488
76,28,2016,5,0,2,4.0,61659,0.0,1,1,2,12.0,2,42.0,39321,4064256,3801832281,8193540096,234417176614179,16518176833536,-3992815380855888655
77,257,2008,25,1,7,4.0,121863,2.0,1,2,3,11.0,4,32.0,5114,4032064,14850590769,8096384512,1809737542882647,16257540100096,-820882696206608031
78,328,2012,25,1,2,4.0,114965,2.0,1,0,2,5.0,4,33.0,12874,4048144,13216951225,8144865728,1519486797582125,16387469844736,8667103020643036081
79,240,2016,25,1,2,4.0,102584,4.0,1,2,2,11.0,2,37.0,36691,4064256,10523477056,8193540096,1079540370312704,16518176833536,63104905901117440
80,185,2010,22,1,2,4.0,131694,2.0,1,2,2,12.0,0,23.0,5172,4040100,17343309636,8120601000,2284009819203384,16322408010000,5642483950817626640
81,67,2014,35,1,7,4.0,112367,4.0,1,2,2,11.0,4,1.0,17022,4056196,12626342689,8169178744,1418784248934863,16452725990416,-6596166963322213823
82,316,2011,16,5,7,4.0,188249,2.0,1,2,2,12.0,2,22.0,2154,4044121,35437686001,8132727331,6671108952002249,16354914662641,1450992093221862113
83,0,2012,17,1,1,4.0,134571,2.0,1,1,3,1.0,11,18.0,25896,4048144,18109354041,8144865728,2436993882651411,16387469844736,-4092689544488899407
84,309,2003,13,2,7,4.0,145781,2.0,1,2,3,5.0,4,35.0,5850,4012009,21252099961,8036054027,3098152384414541,16096216216081,8929894983306962737
85,0,2012,28,0,2,4.0,88404,2.0,1,1,2,12.0,0,18.0,14905,4048144,7815267216,8144865728,690900882963264,16387469844736,5738169436355735808
86,170,1995,17,2,1,3.0,167305,2.0,1,1,3,1.0,0,18.0,7577,3980025,27990963025,7940149875,4683028068897625,15840599000625,8730759971115982753
87,232,2003,13,5,2,4.0,146322,2.0,1,1,3,12.0,11,16.0,11059,4012009,21410127684,8036054027,3132772702978248,16096216216081,-2775034397555586544
88,160,2012,15,1,2,4.0,180681,2.0,1,2,2,12.0,11,43.0,3492,4048144,32645623761,8144865728,5898443946761241,16387469844736,-4174405530386208607
89,112,1997,9,5,4,4.0,145446,2.0,1,0,0,5.0,3,39.0,16507,3988009,21154538916,7964053973,3076843067176536,15904215784081,4792658979529216272
90,279,2012,28,1,2,4.0,109028,4.0,1,2,2,11.0,2,3.0,8886,4048144,11887104784,8144865728,1296027260389952,16387469844736,-6270692443880726272
91,264,2009,16,2,7,4.0,227871,2.0,1,2,2,10.0,9,33.0,7572,4036081,51925192641,8108486729,11832245572297311,16289949838561,3000996043366018945
92,213,2005,34,1,7,4.0,121319,2.0,2,2,0,11.0,2,37.0,3098,4020025,14718299761,8060150125,1785609408704759,16160601000625,-4732581029861962271
93,217,2006,27,2,7,4.0,219844,2.0,2,2,3,11.0,11,45.0,2276,4024036,48331384336,8072216216,10625364857963584,16192865729296,-6813785526966894336
94,16,2007,13,1,1,4.0,147568,2.0,1,0,3,1.0,7,18.0,5740,4028049,21776314624,8084294343,3213487196434432,16225178746401,-5407467313012080640
95,226,2016,13,2,2,4.0,37991,2.0,1,0,3,8.0,0,32.0,30566,4064256,1443316081,8193540096,54833021233271,16518176833536,2083161309673198561
96,168,2010,17,1,2,4.0,88676,2.0,1,1,3,6.0,4,32.0,24123,4040100,7863432976,8120601000,697297782579776,16322408010000,6493345946915561728
97,341,2016,25,0,7,4.0,85737,2.0,2,2,0,9.0,3,24.0,7817,4064256,7350833169,8193540096,630238383410553,16518176833536,-1305483942658072287
98,306,2001,13,5,2,4.0,173499,2.0,1,2,3,12.0,11,10.0,3063,4004001,30101903001,8012006001,5222650068770499,16032024008001,2234104669844776817
99,152,2006,13,1,7,4.0,108928,2.0,2,0,3,8.0,3,5.0,5836,4024036,11865309184,8072216216,1292464398794752,16192865729296,-6788390557761667072
100,111,2011,25,1,2,4.0,108774,2.0,1,1,2,12.0,3,39.0,8563,4044121,11831783076,8132727331,1286990372308824,16354914662641,-7582861832156391152
101,23,2009,16,5,2,4.0,220385,2.0,1,2,3,12.0,9,26.725070166749216,7426,4036081,48569548225,8108486729,10703999885566625,16289949838561,-2182226654221956223
102,258,2013,13,1,1,4.0,53292,4.0,1,1,2,12.0,2,19.0,42154,4052169,2840037264,8157016197,151351265873088,16420073604561,8065811660908605696
103,193,2019,23,1,7,4.0,138595,2.0,1,2,3,12.0,4,26.725070166749216,10601,4076361,19208574025,8230172859,2662212316994875,16616719002321,34434599713668305
104,23,2010,13,1,7,4.0,24949,2.0,1,1,2,12.0,4,24.0,21529,4040100,622452601,8120601000,15529569942349,16322408010000,387447240491665201
105,160,2015,5,5,2,4.0,138419,2.0,1,2,3,12.0,0,43.0,4440,4060225,19159819561,8181353375,2652083063814059,16485427050625,-1836195864112799599
106,61,2013,34,1,2,4.0,28173,4.0,1,2,3,11.0,4,7.0,10979,4052169,793717929,8157016197,22361415213717,16420073604561,629988150816049041
107,127,1995,13,2,1,4.0,115452,2.0,2,2,2,5.0,2,42.0,5852,3980025,13329164304,7940149875,1538878677225408,15840599000625,-6800819694067711744
108,24,2010,25,1,2,4.0,158058,2.0,2,1,0,12.0,11,31.0,8725,4040100,24982331364,8120601000,3948657330731112,16322408010000,-3072418125426654448
109,354,1990,17,5,1,4.0,135456,2.0,1,2,3,6.0,2,19.0,5284,3960100,18348327936,7880599000,2485391108898816,15682392010000,4619744720226091008
110,213,1997,13,2,1,4.0,92758,2.0,2,0,3,5.0,0,37.0,23657,3988009,8604046564,7964053973,798094151183512,15904215784081,242640980641999632
111,213,2011,35,2,1,4.0,81336,4.0,2,0,2,11.0,0,37.0,8386,4044121,6615544896,8132727331,538081959661056,16354914662641,6871946123572547584
112,371,2002,13,2,1,3.0,243694,2.0,1,1,3,1.0,11,25.0,13881,4008004,59386765636,8024024008,14472198464899384,16064096064016,3459814626666125840
113,367,1998,16,2,2,4.0,214411,2.0,1,2,2,12.0,11,21.0,2336,3992004,45972076921,7976023992,9856918984708531,15936095936016,-7943712046257595599
114,361,2014,13,1,2,3.0,107947,2.0,2,1,3,6.0,4,29.0,18710,4056196,11652554809,8169178744,1257858333967123,16452725990416,6654825060782165169
115,316,2012,16,1,2,4.0,82367,2.0,1,2,0,11.0,0,26.725070166749216,7294,4048144,6784322689,8144865728,558804306924863,16387469844736,9133546201061087489
116,316,2010,21,1,2,4.0,147162,2.0,1,1,3,12.0,11,22.0,8935,4040100,21656654244,8120601000,3187036551855528,16322408010000,7842071201424421136
117,64,2014,34,2,7,4.0,150213,2.0,1,2,2,12.0,2,2.0,11467,4056196,22563945369,8169178744,3389397925713597,16452725990416,-7377203448650899087
118,266,2011,25,1,2,4.0,122781,2.0,1,1,3,12.0,2,28.0,14478,4044121,15075173961,8132727331,1850944934105541,16354914662641,5899941069897810129
119,1,2005,35,1,2,4.0,136071,4.0,1,1,2,6.0,11,20.0,8120,4020025,18515317041,8060150125,2519397705085911,16160601000625,-7671172271736485023
120,335,2007,35,1,7,4.0,36953,2.0,1,1,3,12.0,4,26.725070166749216,25010,4028049,1365524209,8084294343,50460216095177,16225178746401,1864656365365075681
121,160,2004,13,0,1,3.887042178526604,214678,2.0,1,2,3,8.0,8,43.0,1533,4016016,46086643684,8048096064,9893788492793752,16128384512256,2603157579378656016
122,233,2013,3,1,7,4.0,151408,2.0,0,2,3,12.0,9,32.0,3247,4052169,22924382464,8157016197,3470934900109312,16420073604561,9018477291883266048
123,213,1983,35,5,1,4.0,18207,2.0,1,0,3,1.0,4,37.0,29532,3932289,331494849,7797729087,6035526715743,15462896779521,109888834913532801
124,27,1996,35,2,1,4.0,178183,2.0,1,0,1,1.0,4,26.725070166749216,3288,3984016,31749181489,7952095936,5657164405254487,15872383488256,-6560398832565081759
125,226,2014,13,1,2,4.0,121382,1.0,1,1,0,2.0,4,32.0,17791,4056196,14733589924,8169178744,1788392612154968,16452725990416,-4282256835920293616
126,59,2010,16,3,7,4.0,209187,2.0,2,2,0,11.0,9,24.0,1161,4040100,43759200969,8120601000,9153855973102203,16322408010000,-3593714220462829103
127,213,1982,17,1,1,3.887042178526604,151312,2.0,1,1,3,1.0,8,37.0,22234,3928324,22895321344,7785938168,3464336863203328,15431729448976,7686905381154521088
128,214,2013,13,1,7,4.0,79889,2.0,1,0,2,12.0,11,50.0,50072,4052169,6382252321,8157016197,509871755672369,16420073604561,3839656541490783809
129,295,2012,13,2,1,4.0,75510,2.0,1,2,3,1.0,0,2.0,6278,4048144,5701760100,8144865728,430539905151000,16387469844736,-4383419909467093232
130,122,1994,35,1,2,4.0,150367,2.0,2,2,3,11.0,2,39.0,6008,3976036,22610234689,7928215784,3399833159480863,15808862273296,-5286121372208518527
131,277,2014,25,1,2,4.0,60298,4.0,1,0,2,12.0,4,45.0,32528,4056196,3635848804,8169178744,219234411183592,16452725990416,-5227347548161321200
132,133,2015,14,1,7,4.0,148248,4.0,2,2,2,12.0,4,32.0,12681,4060225,21977469504,8181353375,3258115899028992,16485427050625,3393819882801664000
133,160,2014,13,1,7,4.0,72493,2.0,1,2,3,12.0,4,43.0,24342,4056196,5255235049,8169178744,380967754407157,16452725990416,9170751346528480785
134,154,2017,5,1,2,4.0,16219,2.0,2,1,3,12.0,2,45.0,18140,4068289,263055961,8205738913,4266504631459,16550975387521,69198438617633521
135,23,2016,17,1,3,3.887042178526604,76158,2.0,2,1,3,1.0,4,24.0,21581,4064256,5800040964,8193540096,441719519736312,16518176833536,-3253012963341053936
136,170,2019,35,1,7,4.0,127850,2.0,1,1,3,1.0,0,18.0,17793,4076361,16345622500,8230172859,2089787836625000,16616719002321,8924957880572527376
137,213,2013,13,1,2,4.0,102353,2.0,1,2,2,11.0,4,37.0,7533,4052169,10476136609,8157016197,1072264010340977,16420073604561,-931026191827290815
138,231,2014,35,1,2,3.0,119266,2.0,1,1,3,6.0,4,26.725070166749216,13083,4056196,14224378756,8169178744,1696484756713096,16452725990416,-581233816660960240
139,88,2009,25,1,2,4.0,140728,2.0,2,0,2,9.0,11,36.0,10849,4036081,19804369984,8108486729,2787029379108352,16289949838561,4831444915259576320
140,207,2010,16,5,7,4.0,173036,2.2066036342148028,1,2,2,8.545981681193677,4,6.0,3255,4040100,29941457296,8120601000,5180950004670656,16322408010000,-7399594603576397568
141,316,2019,5,0,2,4.0,106009,2.0,1,1,3,12.0,11,22.0,20732,4076361,11237908081,8230172859,1191319397758729,16616719002321,-2836630478961758751
142,312,2008,35,1,1,4.0,153913,2.0,1,0,3,12.0,11,2.0,3226,4032064,23689211569,8096384512,3646077620219497,16257540100096,7776422549556893281
143,173,2004,8,1,2,3.887042178526604,115687,2.0,2,2,3,7.0,7,12.0,4933,4016016,13383481969,8048096064,1548294878547703,16128384512256,-5349851122547399199
144,226,2006,16,2,2,4.0,101613,2.0,1,2,3,5.0,0,32.0,5494,4024036,10325201769,8072216216,1049174727353397,16192865729296,-4070672871696580335
145,324,2014,16,1,2,4.0,37571,2.0,2,2,2,12.0,4,48.0,29437,4056196,1411580041,8169178744,53034473720411,16452725990416,1992558212149561681
146,42,2012,16,2,7,4.0,133359,2.0,1,2,3,12.0,4,6.0,5735,4048144,17784622881,8144865728,2371739522787279,16387469844736,2698161766326362689
147,353,2014,13,1,1,4.0,16521,2.0,1,1,2,1.0,4,32.0,18419,4056196,272943441,8169178744,4509298588761,16452725990416,74498121984920481
148,154,2002,13,5,2,4.0,157889,2.2066036342148028,2,2,3,8.545981681193677,11,45.0,5568,4008004,24928936321,8024024008,3936004826786369,16064096064016,-5737432409651739903
149,227,2008,17,1,2,4.0,107943,2.0,1,1,3,1.0,8,36.0,36197,4032064,11651691249,8096384512,1257718508490807,16257540100096,6634700446056318689
150,67,2002,23,2,2,4.0,182165,2.0,1,2,2,12.0,2,1.0,5339,4008004,33184087225,8024024008,6044979249342125,16064096064016,-5620999466164896335
151,325,2014,3,1,7,4.0,118635,4.0,1,2,2,11.0,3,18.0,6472,4056196,14074263225,8169178744,1669700217697875,16452725990416,-4829299484217667151
152,0,2018,5,5,2,4.0,7299,2.0,2,1,2,12.0,4,18.0,18664,4072324,53275401,8217949832,388857151899,16583822760976,2838268351710801
153,135,2013,35,1,7,4.0,104338,2.0,1,1,3,11.0,9,30.0,6168,4052169,10886418244,8157016197,1135867106742472,16420073604561,7833637741038733840
154,64,2017,25,0,2,3.0,10566,2.0,1,1,3,12.0,4,2.0,37070,4068289,111640356,8205738913,1179592001496,16550975387521,12463569087806736
155,135,1975,35,1,2,4.0,29232,2.0,2,0,3,5.0,0,26.725070166749216,28109,3900625,854509824,7703734375,24979031175168,15214875390625,730187039312510976
156,315,2008,16,4,2,4.0,174860,2.0,2,2,3,1.0,11,0.0,22855,4032064,30576019600,8096384512,5346522787256000,16257540100096,-5890973179602972416
157,228,2015,6,1,2,4.0,111849,2.0,1,2,0,11.0,2,33.0,8146,4060225,12510198801,8181353375,1399253225693049,16485427050625,8931121450865424673
158,212,2013,25,0,2,4.0,95864,2.0,1,2,3,12.0,11,50.0,7197,4052169,9189906496,8157016197,880981196332544,16420073604561,-7779338963324760064
159,273,1987,13,5,1,4.0,184379,2.0,2,0,3,5.0,9,15.0,3559,3948169,33995615641,7845011803,6268077616271939,15588038452561,-6442993833097910927
160,2,2009,5,1,2,4.0,99959,2.0,1,1,0,12.0,0,27.0,8589,4036081,9991801681,8108486729,998770504231079,16289949838561,7602380463886667681
161,16,2013,13,1,2,4.0,65428,2.0,1,2,2,12.0,4,18.0,21725,4052169,4280823184,8157016197,280085699282752,16420073604561,-121296941037653760
162,226,2014,29,0,7,4.0,98187,2.0,1,2,0,11.0,0,32.0,7000,4056196,9640686969,8169178744,946590131425203,16452725990416,709124865698648881
163,112,2013,34,0,7,4.0,112474,2.0,1,2,0,11.0,4,39.0,13342,4052169,12650400676,8157016197,1422841165632424,16420073604561,-5988059400044707568
164,34,1999,13,0,2,4.0,165983,2.0,2,0,3,1.0,4,21.0,4653,3996001,27550356289,7988005999,4572890787917087,15968023992001,2705624628750235265
165,0,2016,34,0,2,4.0,73174,2.0,1,2,3,12.0,2,18.0,20326,4064256,5354434276,8193540096,391805373712024,16518176833536,-8223521731415459056
166,240,2007,13,0,7,4.0,338606,2.0,2,1,2,12.0,9,37.0,3984,4028049,114654023236,8084294343,38822540191849016,16225178746401,-6983480353682390512
167,115,2011,5,1,2,4.0,128012,2.0,1,1,2,6.0,4,1.0,16450,4044121,16387072144,8132727331,2097741879297728,16354914662641,-8165027652982517504
168,23,2012,27,1,2,4.0,93823,2.0,1,2,3,11.0,4,24.0,8708,4048144,8802755329,8144865728,825900913232767,16387469844736,3701525087399691777
169,59,1992,13,2,1,4.0,102829,2.0,2,0,3,6.0,4,24.0,14371,3968064,10573803241,7904383488,1087293613468789,15745531908096,1124850537124794385
170,111,2012,13,1,7,4.0,128149,4.0,1,2,2,12.0,0,39.0,10945,4048144,16422166201,8144865728,2104484176491949,16387469844736,-7013618372376501839
171,186,2002,29,2,7,4.0,202170,2.0,2,2,3,5.0,11,19.0,5026,4008004,40872708900,8024024008,8263235558313000,16064096064016,-8075377883429987056
172,87,2006,27,1,2,4.0,245344,4.0,1,1,3,12.0,4,36.0,6381,4024036,60193678336,8072216216,14768157817667584,16192865729296,7717073170763612160
173,324,2013,25,1,2,4.0,104113,2.0,1,0,2,5.0,11,48.0,14364,4052169,10839516769,8157016197,1128534609370897,16420073604561,6814659343174889665
174,224,2011,29,1,7,4.0,95662,2.0,1,2,2,11.0,11,37.0,4709,4044121,9151218244,8132727331,875423839657528,16354914662641,-8488925019229314544
175,72,2015,20,2,7,4.0,169314,2.0,1,2,2,12.0,11,50.0,5456,4060225,28667230596,8181353375,4853763481131144,16485427050625,-8293373272691307504
